Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,15.	 Check-in for each user in each company: 	 0,15.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,04.	 Get All Todolist of User and Company: 	 0,31.	 Check-in for each user in each company: 	 0,31.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,15.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,09.	 Get All Todolist of User and Company: 	 0,73.	 Check-in for each user in each company: 	 0,72.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,57.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,12.	 Check-in for each user in each company: 	 0,1.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,12.	 Check-in for each user in each company: 	 0,14.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,16.	 Check-in for each user in each company: 	 0,18.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,42.	 Check-in for each user in each company: 	 0,42.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,11.	 Check-in for each user in each company: 	 0,11.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,01.	 Get All User By Company: 	 0,01.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,09.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,04.	 Get All Todolist of User and Company: 	 0,33.	 Check-in for each user in each company: 	 0,34.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,39.	 Check-in for each user in each company: 	 0,32.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,07.	 Get All Todolist of User and Company: 	 0,98.	 Check-in for each user in each company: 	 0,74.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,09.	 Get All Todolist of User and Company: 	 2,27.	 Check-in for each user in each company: 	 0,78.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,07.	 Get All Todolist of User and Company: 	 1,67.	 Check-in for each user in each company: 	 0,66.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,18.	 Check-in for each user in each company: 	 0,19.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,07.	 Get All Todolist of User and Company: 	 3,45.	 Check-in for each user in each company: 	 0,62.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,1.	 Check-in for each user in each company: 	 0,1.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,14.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,11.	 Check-in for each user in each company: 	 0,12.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,28.	 Check-in for each user in each company: 	 0,29.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0.	 Check-in for each user in each company: 	 0.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,15.	 Get All Todolist of User and Company: 	 1,42.	 Check-in for each user in each company: 	 1,37.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,15.	 Check-in for each user in each company: 	 0,15.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,86.	 Check-in for each user in each company: 	 0,36.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,09.	 Check-in for each user in each company: 	 0,1.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,08.	 Get All Todolist of User and Company: 	 1,71.	 Check-in for each user in each company: 	 0,68.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,16.	 Check-in for each user in each company: 	 0,17.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,35.	 Check-in for each user in each company: 	 0,28.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,09.	 Check-in for each user in each company: 	 0,1.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,09.	 Get All Todolist of User and Company: 	 2,9.	 Check-in for each user in each company: 	 0,7.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,25.	 Check-in for each user in each company: 	 0,28.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,12.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,03.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,45.	 Check-in for each user in each company: 	 0,46.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,14.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,08.	 Get All Todolist of User and Company: 	 0,82.	 Check-in for each user in each company: 	 0,74.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0.	 Check-in for each user in each company: 	 0.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,17.	 Check-in for each user in each company: 	 0,17.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,11.	 Get All Todolist of User and Company: 	 1,4.	 Check-in for each user in each company: 	 1,37.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,1.	 Check-in for each user in each company: 	 0,11.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,16.	 Check-in for each user in each company: 	 0,16.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,08.	 Get All Todolist of User and Company: 	 3,31.	 Check-in for each user in each company: 	 0,68.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,04.	 Get All Todolist of User and Company: 	 0,84.	 Check-in for each user in each company: 	 0,34.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,1.	 Check-in for each user in each company: 	 0,1.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,1.	 Get All Todolist of User and Company: 	 0,8.	 Check-in for each user in each company: 	 0,72.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,13.	 Check-in for each user in each company: 	 0,13.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,18.	 Check-in for each user in each company: 	 0,18.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,18.	 Check-in for each user in each company: 	 0,19.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,04.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,04.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,04.	 Get All Todolist of User and Company: 	 0,21.	 Check-in for each user in each company: 	 0,19.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,05.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,18.	 Check-in for each user in each company: 	 0,18.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,14.	 Check-in for each user in each company: 	 0,16.	
